"Name","Organization","Homepage","Logo","Twitter","Crunchbase URL","Market Cap","Ticker","Funding","Member","Relation","License","Headquarters","Latest Tweet Date","Description","Crunchbase Description","Crunchbase Homepage","Crunchbase City","Crunchbase Region","Crunchbase Country","Crunchbase Twitter","Crunchbase Linkedin","Crunchbase Ticker","Crunchbase Kind","Crunchbase Min Employees","Crunchbase Max Employees","Category","Subcategory","OSS","Github Repo","Github Stars","Github Description","Github Latest Commit Date","Github Latest Commit Link","Github Release Date","Github Release Link","Github Start Commit Date","Github Start Commit Link","Github Contributors Count","Github Contributors Link"
"3Scale","Red Hat","https://www.3scale.net/","https://landscape.cncf.io/logos/3-scale.svg","https://twitter.com/3scale","https://www.crunchbase.com/organization/red-hat",30703210496,"RHT",,"platinum","member","Apache License 2.0","Raleigh, North Carolina","2018-06-08 17:54:22","3scale API Gateway","Red Hat is a multinational software company engaged in providing open-source software products to the enterprise community.","http://www.redhat.com","Raleigh","North Carolina","United States","http://twitter.com/redhat","https://www.linkedin.com/company/red-hat","RHT","market_cap",5001,10000,"Orchestration & Management","API Gateway",true,"https://github.com/3scale/apicast",113,"3scale API Gateway","","https://github.com/3scale/apicast/commit/486e68b074aeb1ad9d1b4bb8e9b4e6af5ecd97d7","2018-11-16 12:48:08","https://github.com/3scale/apicast/releases","2016-03-15 18:20:48","https://github.com/3scale/apicast/commit/e0470f8c0d482e271bbb52611e583707a7ae618d",24,"https://github.com/3scale/apicast/graphs/contributors"
"Accenture (KCSP)","Accenture","https://www.accenture.com/us-en/service-application-containers","https://landscape.cncf.io/logos/accenture-kcsp.svg","https://twitter.com/AccentureCloud","https://www.crunchbase.com/organization/accenture",88611782656,"ACN",,"silver","member","NotOpenSource","Dublin, Ireland","2018-12-26 21:50:40","Architecture, implementation and operation of world-class Kubernetes solutions for cloud-native clients.","Accenture is a global management consulting firm that offers a range of services & solutions in strategy, consulting, tech and operations. ","http://www.accenture.com","Dublin","Dublin","Ireland","http://twitter.com/accenture","https://www.linkedin.com/company/accenture","ACNN","market_cap",10001,1000000,"Special","Kubernetes Certified Service Provider",false,,,,"","","",,"","",,
"Agile Stacks DevOps Automation Platform","Agile Stacks","https://www.agilestacks.com","https://landscape.cncf.io/logos/agile-stacks-dev-ops-automation-platform.svg","https://www.twitter.com/agilestacks","https://www.crunchbase.com/organization/agile-stacks-inc",,,2530000,"silver","member","NotOpenSource","San Mateo, California","2018-12-21 20:49:58","DevOps for Machine Learning","DevOps for Machine Learning","http://www.agilestacks.com","San Mateo","California","United States","https://www.twitter.com/agilestacks","https://www.linkedin.com/company/7787120/",,"funding",11,50,"Platform","Certified Kubernetes - Distribution",false,,,,"","","",,"","",,
"Alauda (KCSP)","Alauda","http://www.alauda.cn/","https://landscape.cncf.io/logos/alauda-kcsp.svg",,"https://www.crunchbase.com/organization/alauda",,,15000000,"silver","member","NotOpenSource","Haidian, China","","Alauda provides Kubernetes-Centric Enterprise Platform-as-a-Service offerings with a razor focus on delivering Cloud Native capabilities and DevOps best practices to enterprise customers across industries in China.","Alauda is a pioneer cloud platform provider that focuses on containers and microservices.","http://www.alauda.cn/","Haidian","Beijing","China",,"https://www.linkedin.com/company/alauda-inc-/",,"funding",101,250,"Special","Kubernetes Certified Service Provider",false,,,,"","","",,"","",,
"Alauda (KTP)","Alauda","http://www.alauda.cn/","https://landscape.cncf.io/logos/alauda-ktp.svg",,"https://www.crunchbase.com/organization/alauda",,,15000000,"silver","member","NotOpenSource","Haidian, China","","Alauda is a pioneer cloud platform provider that focuses on containers and microservices.","Alauda is a pioneer cloud platform provider that focuses on containers and microservices.","http://www.alauda.cn/","Haidian","Beijing","China",,"https://www.linkedin.com/company/alauda-inc-/",,"funding",101,250,"Special","Kubernetes Training Partner",false,,,,"","","",,"","",,
"Alauda EE","Alauda","http://www.alauda.cn/product/detail/id/144.html","https://landscape.cncf.io/logos/alauda-ee.svg",,"https://www.crunchbase.com/organization/alauda",,,15000000,"silver","member","NotOpenSource","Haidian, China","","Alauda is a pioneer cloud platform provider that focuses on containers and microservices.","Alauda is a pioneer cloud platform provider that focuses on containers and microservices.","http://www.alauda.cn/","Haidian","Beijing","China",,"https://www.linkedin.com/company/alauda-inc-/",,"funding",101,250,"Platform","Certified Kubernetes - Distribution",false,,,,"","","",,"","",,
"Alcide","Alcide","https://www.alcide.io/","https://landscape.cncf.io/logos/alcide.svg","https://twitter.com/alcideio","https://www.crunchbase.com/organization/alcide",,,12300000,"silver","member","NotOpenSource","Tel Aviv, Israel","2018-12-22 21:54:08","Alcide’s Data Center & Cloud Ops Security Platform protects any combination of container, serverless, VM and bare metal","Alcide’s Data Center & Cloud Ops Security Platform protects any combination of container, serverless, VM and bare metal","http://www.alcide.io","Tel Aviv","Tel Aviv","Israel","https://twitter.com/alcide_io","https://www.linkedin.com/company/alcide",,"funding",11,50,"Runtime","Cloud-Native Network",false,,,,"","","",,"","",,
"Alibaba Cloud","Alibaba Cloud","https://us.alibabacloud.com/","https://landscape.cncf.io/logos/alibaba-cloud.svg","https://twitter.com/alibaba_cloud","https://www.crunchbase.com/organization/alibaba-cloud",354926362624,"BABA",,"platinum","member","NotOpenSource","Hangzhou, China","2018-12-26 15:33:03","Alibaba Cloud develops highly scalable cloud computing and data management services.","Alibaba Cloud develops highly scalable cloud computing and data management services.","https://www.alibabacloud.com/","Hangzhou","Zhejiang","China","https://twitter.com/alibaba_cloud","https://www.linkedin.com/company/alibaba-cloud-computing-company","BABA","market_cap",,,"Cloud","Public",false,,,,"","","",,"","",,
"Alibaba Cloud (KCSP)","Alibaba Cloud","https://us.alibabacloud.com/","https://landscape.cncf.io/logos/alibaba-cloud-kcsp.svg","https://twitter.com/alibaba_cloud","https://www.crunchbase.com/organization/alibaba-cloud",354926362624,"BABA",,"platinum","member","NotOpenSource","Hangzhou, China","2018-12-26 15:33:03","Alibaba Cloud Container Service for Kubernetes is a fully-managed service compatible with Kubernetes to help users focus on their  applications rather than managing container infrastructure.","Alibaba Cloud develops highly scalable cloud computing and data management services.","https://www.alibabacloud.com/","Hangzhou","Zhejiang","China","https://twitter.com/alibaba_cloud","https://www.linkedin.com/company/alibaba-cloud-computing-company","BABA","market_cap",,,"Special","Kubernetes Certified Service Provider",false,,,,"","","",,"","",,
"Alibaba Cloud Container Service","Alibaba Cloud","https://www.alibabacloud.com/product/container-service","https://landscape.cncf.io/logos/alibaba-cloud-container-service.svg","https://twitter.com/alibaba_cloud","https://www.crunchbase.com/organization/alibaba-cloud",354926362624,"BABA",,"platinum","member","NotOpenSource","Hangzhou, China","2018-12-26 15:33:03","Container Services Provides high-performance, scalable container application management services that enable lifecycle management of containerized applications with Docker and Kubernetes, multiple application deployment methods and continuous delivery capabilities, and support for microservices architecture.","Alibaba Cloud develops highly scalable cloud computing and data management services.","https://www.alibabacloud.com/","Hangzhou","Zhejiang","China","https://twitter.com/alibaba_cloud","https://www.linkedin.com/company/alibaba-cloud-computing-company","BABA","market_cap",,,"Platform","Certified Kubernetes - Hosted",false,,,,"","","",,"","",,
